url,titre,description,prix_numeric,couleurs,matières,type,image,dominant_colors_array,color_names,dominant_colors,flattened_colors
https://www.miumiu.com/fr/fr/p/jupe-courte-plissee-en-batavia/MG2388_11AD_F0008_S_OOO,Jupe Courte Plissée En Batavia Bleu | Miu Miu,"Cette jupe courte associe un boxer en popeline à carreaux à du tissu batavia, mettant en valeur ses lignes plissées et jouant avec la juxtaposition d’éléments masculins et féminins, caractéristique du style Miu Miu. ",1300.0,"['bleu', 'lin']","['lin', 'batavia']",Jupe,https://www.miumiu.com/content/dam/miumiubkg_products/M/MG2/MG2388/11ADF0008/MG2388_11AD_F0008_S_OOO_SLF.jpg,,"['bleu', 'lin', 'black', 'gray', 'lightslategray', 'darkslategray', 'dimgray']","[[ 29  29  39]
 [124 126 130]
 [137 149 167]
 [ 72  72  80]
 [ 98 100 109]]","[29, 29, 39, 124, 126, 130, 137, 149, 167, 72, 72, 80, 98, 100, 109]"
https://www.miumiu.com/fr/fr/p/lunettes-de-soleil-miu-regard/SMUA06_E14L_FE09Z_C_054,Lunettes De Soleil Miu Regard Verres Gris-vert | Miu Miu,Les lunettes de soleil Miu Regard sont réinterprétées dans une nouvelle version classique sophistiquée. La monture associe des verres rectangulaires étroits à un cerclage fin qui accentue sa grande légèreté. Les branches sont agrémentées de l’élégant logo Miu Miu vertical. ,370.0,"['vert', 'gris']",['coton'],Lunettes,https://www.miumiu.com/content/dam/miumiubkg_products/S/SMU/SMUA06/E14LFE09Z/SMUA06_E14L_FE09Z_C_054_SLF.jpg,,"['vert', 'gris', 'darkolivegreen', 'darkslategray', 'gray', 'chocolate', 'saddlebrown']","[[112  93  65]
 [ 59  48  48]
 [148 138 137]
 [207 124  27]
 [108  62  37]]","[112, 93, 65, 59, 48, 48, 148, 138, 137, 207, 124, 27, 108, 62, 37]"
https://www.miumiu.com/fr/fr/p/lunettes-de-soleil-miu-miu-logo/SMUA04_E16K_FE08Z_C_054,Lunettes De Soleil Miu Miu Logo Verres Gris Ardoise | Miu Miu,Des lunettes de soleil papillon en acétate. Elles associent une monture oversize affichant une féminité contemporaine à des branches droites agrémentées du logo Miu Miu vertical iconique. ,350.0,"['vert', 'gris']",['coton'],Lunettes,https://www.miumiu.com/content/dam/miumiubkg_products/S/SMU/SMUA04/E16KFE08Z/SMUA04_E16K_FE08Z_C_054_SLF.jpg,,"['vert', 'gris', 'darkslategray', 'darkslategray', 'gray']","[[ 74  76  82]
 [ 47  46  52]
 [119 116 119]]","[74, 76, 82, 47, 46, 52, 119, 116, 119, 0, 0, 0, 0, 0, 0]"
https://www.miumiu.com/fr/fr/p/t-shirt-a-manches-longues-en-jersey-de-coton/MJL014_14RT_F0RTX_S_OOO,T-shirt À Manches Longues En Jersey De Coton Amarante/jaune | Miu Miu,"Le logo Miu Miu se démarque sur la silhouette simple et oversize de ce t-shirt, apportant une touche iconique et distinctive au vêtement. ",770.0,"['jaune', 'amarante']","['coton', 'jersey']",T-shirt,https://www.miumiu.com/content/dam/miumiubkg_products/M/MJL/MJL014/14RTF0RTX/MJL014_14RT_F0RTX_S_OOO_SLF.jpg,,"['jaune', 'amarante', 'gainsboro', 'sienna', 'black', 'gray', 'sienna']","[[231 227 218]
 [155  74  46]
 [ 15   2   1]
 [157 104  97]
 [121  77  70]]","[231, 227, 218, 155, 74, 46, 15, 2, 1, 157, 104, 97, 121, 77, 70]"
https://www.miumiu.com/fr/fr/p/jean-en-denim/GWP483_16T8_F0008_S_OOO,Jean En Denim Bleu | Miu Miu,Miu Miu expérimente autour du prêt-à-porter masculin avec ce jean à la coupe décontractée en denim semi-épais au délavage bleu classique et aux coutures contrastantes. ,950.0,"['bleu', 'lin']","['denim', 'lin']",Jean,https://www.miumiu.com/content/dam/miumiubkg_products/G/GWP/GWP483/16T8F0008/GWP483_16T8_F0008_S_OOO_SLF.jpg,,"['bleu', 'lin', 'darkslategray', 'dimgray', 'gray', 'black', 'dimgray']","[[ 29  49  74]
 [109 116 124]
 [137 140 142]
 [ 13  23  38]
 [ 83  90  98]]","[29, 49, 74, 109, 116, 124, 137, 140, 142, 13, 23, 38, 83, 90, 98]"
https://www.miumiu.com/fr/fr/p/sac-ivy-en-cuir/5BG231_2CRW_F0002_V_MLN,Sac Ivy En Cuir Noir | Miu Miu,"Le sac IVY en cuir présente un style classique, agrémenté de détails en métal et du logo lettres Miu Miu, qui apporte une touche iconique, immédiatement reconnaissable.",1700.0,"['noir', 'sable']",['cuir'],Sac,https://www.miumiu.com/content/dam/miumiubkg_products/5/5BG/5BG231/2CRWF0002/5BG231_2CRW_F0002_V_MLN_SLF.jpg,,"['noir', 'sable', 'darkslategray', 'gray', 'darkslategray']","[[ 46  43  45]
 [124 118 117]
 [ 85  80  81]]","[46, 43, 45, 124, 118, 117, 85, 80, 81, 0, 0, 0, 0, 0, 0]"
https://www.miumiu.com/fr/fr/p/veste-en-satin-de-coton-teinte-en-piece/MH1977_16MS_F0393_S_OOO,Veste En Satin De Coton Teinte En Pièce Vert Olive | Miu Miu,"Confectionnée en satin de coton, cette veste teinte en pièce est agrémentée de boutons dorés originaux et du logo brodé sur le devant, qui reflètent l’esprit expérimental et vintage de Miu Miu. ",2350.0,"['vert', 'doré', 'dorés', 'olive']","['coton', 'satin']",Veste,https://www.miumiu.com/content/dam/miumiubkg_products/M/MH1/MH1977/16MSF0393/MH1977_16MS_F0393_S_OOO_SLF.jpg,,"['vert', 'doré', 'dorés', 'olive', 'gray', 'darkolivegreen', 'black', 'gray']","[[151 132  96]
 [ 92  77  51]
 [ 38  28  11]
 [153 146 137]]","[151, 132, 96, 92, 77, 51, 38, 28, 11, 153, 146, 137, 0, 0, 0]"
https://www.miumiu.com/fr/fr/p/short-en-satin-de-coton-teint-en-piece/MP1853_16MS_F0393_S_OOO,Short En Satin De Coton Teint En Pièce Vert Olive | Miu Miu,Ce short en satin de coton simple et polyvalent s’inspire de la garde-robe masculine. Les poches latérales et la ceinture à logo sont des éléments distinctifs qui incarnent l’esprit vintage de Miu Miu.,1400.0,"['vert', 'lin', 'olive']","['coton', 'lin', 'satin']",Short,https://www.miumiu.com/content/dam/miumiubkg_products/M/MP1/MP1853/16MSF0393/MP1853_16MS_F0393_S_OOO_SLF.jpg,,"['vert', 'lin', 'olive', 'gainsboro', 'dimgray', 'darkolivegreen', 'black', 'darkolivegreen']","[[232 228 219]
 [144 118  80]
 [103  84  57]
 [ 32  23  14]
 [ 72  57  36]]","[232, 228, 219, 144, 118, 80, 103, 84, 57, 32, 23, 14, 72, 57, 36]"
https://www.miumiu.com/fr/fr/p/chaussettes-en-maille-cotelee/MCZ491_16JW_F0399_S_OOO,Chaussettes En Maille Côtelée Rouge Amarante/jaune Maïs | Miu Miu,"L’esprit vintage et iconique de Miu Miu transparaît dans la maille côtelée et le logo brodé de ces chaussettes en coton, parfaites pour compléter des looks polyvalents et uniques. ",350.0,"['rouge', 'jaune', 'amarante', 'maïs']",['coton'],Chaussettes,https://www.miumiu.com/content/dam/miumiubkg_products/M/MCZ/MCZ491/16JWF0399/MCZ491_16JW_F0399_S_OOO_SLF.jpg,,"['rouge', 'jaune', 'amarante', 'maïs', 'black', 'dimgray', 'rosybrown', 'maroon']","[[ 46   8  19]
 [120  85  87]
 [159 141 130]
 [ 88  28  44]]","[46, 8, 19, 120, 85, 87, 159, 141, 130, 88, 28, 44, 0, 0, 0]"
https://www.miumiu.com/fr/fr/p/sandales-en-cuir-verni-avec-boucles/5X342E_069_F0D27_F_B055,Sandales En Cuir Verni Avec Boucles Carmin | Miu Miu,"Élégante réinterprétation de la chaussure à bride arrière iconique, ces sandales en cuir verni affichent une silhouette sophistiquée et des détails raffinés. Les mini-boucles leur confèrent un caractère vintage. ",950.0,['carmin'],['cuir'],Sandales,https://www.miumiu.com/content/dam/miumiubkg_products/5/5X3/5X342E/069F0D27/5X342E_069_F0D27_F_B055_SLR.jpg,,"['carmin', 'gainsboro', 'darkslategray', 'gray', 'maroon', 'dimgray']","[[231 227 218]
 [ 92  51  59]
 [155 131 128]
 [ 71  22  32]
 [117  86  92]]","[231, 227, 218, 92, 51, 59, 155, 131, 128, 71, 22, 32, 117, 86, 92]"
https://www.miumiu.com/fr/fr/p/blouson-en-coton-panama-a-poches/ML943_12NS_F0008_S_AM1,Blouson En Coton Panama À Poches Bleu | Miu Miu,Ce blouson en coton Panama est doté de poches classiques inspirées des tenues de scouts. Il est polyvalent et iconique avec sa coupe décontractée et son logo brodé.,2650.0,['bleu'],['coton'],Blouson,https://www.miumiu.com/content/dam/miumiubkg_products/M/ML9/ML943/12NSF0008/ML943_12NS_F0008_S_AM1_SLF.jpg,,"['bleu', 'darkslategray', 'gainsboro', 'dimgray', 'gray']","[[ 45  45  55]
 [230 225 219]
 [108 101  94]
 [147 139 131]]","[45, 45, 55, 230, 225, 219, 108, 101, 94, 147, 139, 131, 0, 0, 0]"
https://www.miumiu.com/fr/fr/p/jupe-courte-en-coton-panama/MG2406_12NS_F0008_S_OOO,Jupe Courte En Coton Panama Bleu | Miu Miu,"Inspirée de l’uniforme classique du scout, cette jupe courte en coton Panama au style polyvalent et exclusif présente une silhouette plissée, rehaussée d’une ceinture tissée avec une boucle gravée du logo.",1550.0,['bleu'],['coton'],Jupe,https://www.miumiu.com/content/dam/miumiubkg_products/M/MG2/MG2406/12NSF0008/MG2406_12NS_F0008_S_OOO_SLF.jpg,,"['bleu', 'darkslategray', 'dimgray', 'gray', 'darkolivegreen']","[[ 37  38  47]
 [122 113 106]
 [147 138 128]
 [101  73  55]]","[37, 38, 47, 122, 113, 106, 147, 138, 128, 101, 73, 55, 0, 0, 0]"
https://www.miumiu.com/fr/fr/p/sac-beau-en-cuir/5BB117_2CRW_F0572_V_MON,Sac Beau En Cuir Gris Argile | Miu Miu,"Le cuir doux et lisse met en valeur les nuances et les détails du sac Beau, tels que les ornements métalliques dorés, tandis que le logo lettres estampé signe le design de sa note iconique.",2950.0,"['gris', 'doré', 'dorés']",['cuir'],Sac,https://www.miumiu.com/content/dam/miumiubkg_products/5/5BB/5BB117/2CRWF0572/5BB117_2CRW_F0572_V_MON_SLF.jpg,,"['gris', 'doré', 'dorés', 'gainsboro', 'dimgray', 'peru', 'sienna', 'darkslategray']","[[233 229 223]
 [112 100  92]
 [176 136  74]
 [128  96  48]
 [ 70  52  33]]","[233, 229, 223, 112, 100, 92, 176, 136, 74, 128, 96, 48, 70, 52, 33]"
https://www.miumiu.com/fr/fr/p/lunettes-de-soleil-miu-miu-logo/SMUA54_S5AK_FE08N_C_051,Lunettes De Soleil Miu Miu Logo Verre Transparent Blue Ray | Miu Miu,Ces lunettes de soleil Miu Miu affichent un look à la fois classique et sophistiqué. La monture en métal ultra légère dotée de verres ovales sans cerclage est mise en valeur par une palette de couleurs fantaisie.  Les branches ultra fines sont agrémentées du logo Miu Miu vertical.,390.0,['vert'],['coton'],Lunettes,https://www.miumiu.com/content/dam/miumiubkg_products/S/SMU/SMUA54/S5AKFE08N/SMUA54_S5AK_FE08N_C_051_SLF.jpg,,"['vert', 'dimgray', 'gray', 'rosybrown', 'gray', 'darkslategray']","[[ 95  88  92]
 [130 120 123]
 [187 149 119]
 [150 117  88]
 [ 61  50  53]]","[95, 88, 92, 130, 120, 123, 187, 149, 119, 150, 117, 88, 61, 50, 53]"
https://www.miumiu.com/fr/fr/p/polo-en-pique-de-coton/MJL019_14RW_F0324_S_OOO,Polo En Piqué De Coton Marron Cacao | Miu Miu,Ce polo intemporel adopte l’esprit unique de Miu Miu. Le logo brodé apporte une touche iconique.,920.0,"['marron', 'cacao', 'marron']",['coton'],Polo,https://www.miumiu.com/content/dam/miumiubkg_products/M/MJL/MJL019/14RWF0324/MJL019_14RW_F0324_S_OOO_SLF.jpg,,"['marron', 'cacao', 'marron', 'gainsboro', 'darkolivegreen', 'gray', 'black', 'dimgray']","[[226 222 213]
 [ 82  66  58]
 [128 117 109]
 [  3   1   1]
 [105  93  85]]","[226, 222, 213, 82, 66, 58, 128, 117, 109, 3, 1, 1, 105, 93, 85]"
https://www.miumiu.com/fr/fr/p/pantalon-en-satin-de-coton-teint-en-piece/MP1852_16MS_F0393_S_OOO,Pantalon En Satin De Coton Teint En Pièce Vert Olive | Miu Miu,Ce pantalon en satin de coton teint en pièce présente des poches latérales au design distinctif et une ceinture à imprimé logo qui lui confèrent un charme vintage expérimental. ,1550.0,"['vert', 'olive']","['coton', 'satin']",Pantalon,https://www.miumiu.com/content/dam/miumiubkg_products/M/MP1/MP1852/16MSF0393/MP1852_16MS_F0393_S_OOO_SLF.jpg,,"['vert', 'olive', 'darkolivegreen', 'gray', 'darkslategray', 'gray']","[[108  85  54]
 [149 123  82]
 [ 57  43  25]
 [147 136 125]]","[108, 85, 54, 149, 123, 82, 57, 43, 25, 147, 136, 125, 0, 0, 0]"
https://www.miumiu.com/fr/fr/p/ruches-escarpins-en-suede/5I374E_008_F0003_F_055,Ruches Escarpins En Suède Marron Foncé | Miu Miu,L’escarpin classique est revisité dans une version en suède souple et léger. L’élastique et le logo estampé discret ajoutent une touche de style et de caractère. ,920.0,"['marron', 'marron']",['coton'],Ruches,https://www.miumiu.com/content/dam/miumiubkg_products/5/5I3/5I374E/008F0003/5I374E_008_F0003_F_055_SLR.jpg,,"['marron', 'marron', 'darkslategray', 'gray', 'dimgray', 'black']","[[ 57  40  33]
 [149 137 126]
 [105  92  81]
 [ 14   9  10]]","[57, 40, 33, 149, 137, 126, 105, 92, 81, 14, 9, 10, 0, 0, 0]"
https://www.miumiu.com/fr/fr/p/sac-a-main-beau-en-cuir/5BB172_2CRW_F0244_V_OOO,Sac À Main Beau En Cuir Toundra | Miu Miu,"Le cuir doux et lisse met en valeur la nuance et les détails du sac Beau, tels que les ornements métalliques dorés, tandis que le logo lettres estampé apporte une touche de finition iconique.",2750.0,"['doré', 'dorés', 'toundra']",['cuir'],Sac,https://www.miumiu.com/content/dam/miumiubkg_products/5/5BB/5BB172/2CRWF0244/5BB172_2CRW_F0244_V_OOO_SLF.jpg,,"['doré', 'dorés', 'toundra', 'darkolivegreen', 'gainsboro', 'darkolivegreen', 'dimgray', 'gray']","[[ 74  53  32]
 [229 224 218]
 [106  79  52]
 [136 115  94]
 [155 138 123]]","[74, 53, 32, 229, 224, 218, 106, 79, 52, 136, 115, 94, 155, 138, 123]"
https://www.miumiu.com/fr/fr/p/polo-en-maille-de-coton/MML956_16OP_F0036_S_OOO,Polo En Maille De Coton Beige Sable | Miu Miu,"Le polo Miu Miu affiche un design iconique en fil de coton très fin et une texture particulière, à laquelle il doit son originalité et qui lui confère l’élégance épurée des classiques revisités. ",1350.0,"['beige', 'sable']",['coton'],Polo,https://www.miumiu.com/content/dam/miumiubkg_products/M/MML/MML956/16OPF0036/MML956_16OP_F0036_S_OOO_SLF.jpg,,"['beige', 'sable', 'gray', 'dimgray', 'darkolivegreen']","[[149 141 133]
 [135 104  82]
 [105  71  50]]","[149, 141, 133, 135, 104, 82, 105, 71, 50, 0, 0, 0, 0, 0, 0]"
https://www.miumiu.com/fr/fr/p/jupe-courte-en-satin-de-coton-teinte-en-piece/MG2390_16MS_F0393_S_OOO,Jupe Courte En Satin De Coton Teinte En Pièce Vert Olive | Miu Miu,Cette jupe courte en satin de coton teinte en pièce est agrémentée d’une ceinture à imprimé logo qui lui confère un charme vintage élégant. ,1450.0,"['vert', 'olive']","['coton', 'satin']",Jupe,https://www.miumiu.com/content/dam/miumiubkg_products/M/MG2/MG2390/16MSF0393/MG2390_16MS_F0393_S_OOO_SLF.jpg,,"['vert', 'olive', 'sienna', 'darkolivegreen', 'darkolivegreen', 'gray', 'rosybrown']","[[146 113  71]
 [ 86  65  39]
 [100  87  73]
 [141 135 131]
 [173 146 109]]","[146, 113, 71, 86, 65, 39, 100, 87, 73, 141, 135, 131, 173, 146, 109]"
https://www.miumiu.com/fr/fr/p/chaussettes-en-maille-cotelee/MCZ491_16JW_F0385_S_OOO,Chaussettes En Maille Côtelée Vert Kiwi | Miu Miu,"L’esprit vintage et iconique de Miu Miu transparaît dans la maille côtelée et le logo brodé de ces chaussettes en coton, parfaites pour compléter des looks polyvalents et uniques. ",350.0,['vert'],['coton'],Chaussettes,https://www.miumiu.com/content/dam/miumiubkg_products/M/MCZ/MCZ491/16JWF0385/MCZ491_16JW_F0385_S_OOO_SLF.jpg,,"['vert', 'sienna', 'gainsboro', 'darkslategray', 'rosybrown']","[[137 116  70]
 [229 225 216]
 [ 51  41  22]
 [166 149 115]]","[137, 116, 70, 229, 225, 216, 51, 41, 22, 166, 149, 115, 0, 0, 0]"
https://www.miumiu.com/fr/fr/p/sac-a-main-aventure-en-cuir-nappa/5BB168_2BBL_F0NBL_V_OOO,Sac À Main Aventure En Cuir Nappa Bruyère | Miu Miu,"Tiré des archives de Miu Miu, le sac à main Aventure a été revisité en termes de structure, à présent plus légère, et d’attitude, afin de créer un sac classique empreint d’un charme intemporel. Le logo lettres estampé apporte une touche iconique.",3300.0,['bruyère'],['cuir'],Sac,https://www.miumiu.com/content/dam/miumiubkg_products/5/5BB/5BB168/2BBLF0NBL/5BB168_2BBL_F0NBL_V_OOO_SLF.jpg,,"['bruyère', 'darkslategray', 'dimgray', 'gray', 'darkkhaki', 'darkolivegreen']","[[ 65  41  34]
 [121 102  90]
 [151 135 120]
 [191 151  94]
 [102  78  62]]","[65, 41, 34, 121, 102, 90, 151, 135, 120, 191, 151, 94, 102, 78, 62]"
https://www.miumiu.com/fr/fr/p/pull-polo-a-rayures-en-cachemire-et-soie/MMLA18_150D_F0008_S_OOO,Pull Polo À Rayures En Cachemire Et Soie Bleu | Miu Miu,"Ce pull polo en cachemire et soie à la coupe ajustée est agrémenté du logo intarsia à l’essence décontractée et sophistiquée. Il associe des rayures, un élément iconique du style Miu Miu, à un motif en maille fine. ",1500.0,['bleu'],"['soie', 'cachemire']",Pull,https://www.miumiu.com/content/dam/miumiubkg_products/M/MML/MMLA18/150DF0008/MMLA18_150D_F0008_S_OOO_SLF.jpg,,"['bleu', 'dimgray', 'darkslategray', 'darkslategray', 'gray', 'black']","[[121 100  76]
 [ 30  34  61]
 [ 73  65  68]
 [146 135 125]
 [ 13  12  22]]","[121, 100, 76, 30, 34, 61, 73, 65, 68, 146, 135, 125, 13, 12, 22]"
https://www.miumiu.com/fr/fr/p/jupe-plissee-en-batavia/MG2240_11AD_F0192_S_OOO,Jupe Plissée En Batavia Ebène | Miu Miu,Cette jupe en batavia est animée de plis qui lui donnent un beau mouvement et dotée d’une taille élastique à cordon de serrage ajoutant une note décontractée. Le logo brodé apporte une touche iconique.,1300.0,['ebène'],['batavia'],Jupe,https://www.miumiu.com/content/dam/miumiubkg_products/M/MG2/MG2240/11ADF0192/MG2240_11AD_F0192_S_OOO_SLF.jpg,,"['ebène', 'darkslategray', 'gray', 'dimgray', 'saddlebrown', 'black']","[[ 55  44  43]
 [153 141 126]
 [ 98  86  78]
 [100  38  43]
 [ 21  17  15]]","[55, 44, 43, 153, 141, 126, 98, 86, 78, 100, 38, 43, 21, 17, 15]"
https://www.miumiu.com/fr/fr/p/robe-en-coton-panama/MF5710_12NS_F0008_S_OOO,Robe En Coton Panama Bleu | Miu Miu,"Confectionnée en coton Panama, cette robe est agrémentée de poches classiques d’inspiration scout, du logo brodé ton sur ton et d’une ceinture tissée, qui soulignent son esprit iconique.",2650.0,['bleu'],['coton'],Robe,https://www.miumiu.com/content/dam/miumiubkg_products/M/MF5/MF5710/12NSF0008/MF5710_12NS_F0008_S_OOO_SLF.jpg,,"['bleu', 'gainsboro', 'dimgray', 'black', 'gray', 'darkolivegreen']","[[231 227 218]
 [ 99  95  91]
 [  8   8  11]
 [126 125 122]
 [ 99  69  51]]","[231, 227, 218, 99, 95, 91, 8, 8, 11, 126, 125, 122, 99, 69, 51]"
